exercisedate,exercisemonth,value,date
2023/1/1,Jan,0,1
2023/1/2,Jan,279.32,2
2023/1/3,Jan,1.74,3
2023/1/4,Jan,0.08,4
2023/1/5,Jan,191.71,5
2023/1/6,Jan,199.07,6
2023/1/7,Jan,0,7
2023/1/8,Jan,0,8
2023/1/9,Jan,0,9
2023/1/10,Jan,0,10
2023/1/11,Jan,0,11
2023/1/12,Jan,0,12
2023/1/13,Jan,0,13
2023/1/14,Jan,0,14
2023/1/15,Jan,0,15
2023/1/16,Jan,0,16
2023/1/17,Jan,0,17
2023/1/18,Jan,0,18
2023/1/19,Jan,0,19
2023/1/20,Jan,0,20
2023/1/21,Jan,0,21
2023/1/22,Jan,0,22
2023/1/23,Jan,0,23
2023/1/24,Jan,0,24
2023/1/25,Jan,0,25
2023/1/26,Jan,0,26
2023/1/27,Jan,0,27
2023/1/28,Jan,0,28
2023/1/29,Jan,0,29
2023/1/30,Jan,0,30
2023/1/31,Jan,0,31
2023/2/1,Feb,0,1
2023/2/2,Feb,0,2
2023/2/3,Feb,87.28,3
2023/2/4,Feb,260.76,4
2023/2/5,Feb,339.68,5
2023/2/6,Feb,205.22,6
2023/2/7,Feb,265.65,7
2023/2/8,Feb,289.26,8
2023/2/9,Feb,1.1,9
2023/2/10,Feb,164.26,10
2023/2/11,Feb,271.54,11
2023/2/12,Feb,77.73,12
2023/2/13,Feb,336.22,13
2023/2/14,Feb,351,14
2023/2/15,Feb,355.76,15
2023/2/16,Feb,264.55,16
2023/2/17,Feb,292.14,17
2023/2/18,Feb,175.24,18
2023/2/19,Feb,136.04,19
2023/2/20,Feb,312.17,20
2023/2/21,Feb,321.12,21
2023/2/22,Feb,2.12,22
2023/2/23,Feb,350.24,23
2023/2/24,Feb,404.95,24
2023/2/25,Feb,234.78,25
2023/2/26,Feb,13.45,26
2023/2/27,Feb,283.03,27
2023/2/28,Feb,295.36,28
2023/3/1,Mar,310.86,1
2023/3/2,Mar,289.07,2
2023/3/3,Mar,305.93,3
2023/3/4,Mar,468.99,4
2023/3/5,Mar,110.08,5
2023/3/6,Mar,291.87,6
2023/3/7,Mar,276.84,7
2023/3/8,Mar,334.99,8
2023/3/9,Mar,317.28,9
2023/3/10,Mar,331.14,10
2023/3/11,Mar,312.91,11
2023/3/12,Mar,219.06,12
2023/3/13,Mar,256.16,13
2023/3/14,Mar,300.25,14
2023/3/15,Mar,583.39,15
2023/3/16,Mar,573.38,16
2023/3/17,Mar,607.65,17
2023/3/18,Mar,243.81,18
2023/3/19,Mar,193.62,19
2023/3/20,Mar,332.78,20
2023/3/21,Mar,185.36,21
2023/3/22,Mar,286.94,22
2023/3/23,Mar,359.28,23
2023/3/24,Mar,513.95,24
2023/3/25,Mar,246.61,25
2023/3/26,Mar,307.46,26
2023/3/27,Mar,262.8,27
2023/3/28,Mar,278.5,28
2023/3/29,Mar,661.75,29
2023/3/30,Mar,301.58,30
2023/3/31,Mar,351.05,31
2023/4/1,Apr,640.82,1
2023/4/2,Apr,389.56,2
2023/4/3,Apr,523.8,3
2023/4/4,Apr,660.43,4
2023/4/5,Apr,553.94,5
2023/4/6,Apr,697.02,6
2023/4/7,Apr,392.27,7
2023/4/8,Apr,321.47,8
2023/4/9,Apr,905.88,9
2023/4/10,Apr,520.79,10
2023/4/11,Apr,308.79,11
2023/4/12,Apr,486.42,12
2023/4/13,Apr,0,13
2023/4/14,Apr,485.02,14
2023/4/15,Apr,4.19,15
2023/4/16,Apr,207.95,16
2023/4/17,Apr,298.1,17
2023/4/18,Apr,246.86,18
2023/4/19,Apr,0,19
2023/4/20,Apr,392.83,20
2023/4/21,Apr,381.89,21
2023/4/22,Apr,296.28,22
2023/4/23,Apr,305.74,23
2023/4/24,Apr,305.04,24
2023/4/25,Apr,259.26,25
2023/4/26,Apr,398.54,26
2023/4/27,Apr,242.36,27
2023/4/28,Apr,280.28,28
2023/4/29,Apr,276.08,29
2023/4/30,Apr,244.73,30
2023/5/1,May,212.28,1
2023/5/2,May,0,2
2023/5/3,May,0.2,3
2023/5/4,May,243.89,4
2023/5/5,May,171.72,5
2023/5/6,May,391.69,6
2023/5/7,May,315.13,7
2023/5/8,May,302.32,8
2023/5/9,May,280,9
2023/5/10,May,320.88,10
2023/5/11,May,278.29,11
2023/5/12,May,307.03,12
2023/5/13,May,477.84,13
2023/5/14,May,2.44,14
2023/5/15,May,273.29,15
2023/5/16,May,227.32,16
2023/5/17,May,259.74,17
2023/5/18,May,252.26,18
2023/5/19,May,277.66,19
2023/5/20,May,155.41,20
2023/5/21,May,0,21
2023/5/22,May,191.84,22
2023/5/23,May,261.38,23
2023/5/24,May,317.55,24
2023/5/25,May,330.76,25
2023/5/26,May,293.39,26
2023/5/27,May,1.15,27
2023/5/28,May,278.18,28
2023/5/29,May,0.12,29
2023/5/30,May,291.15,30
2023/5/31,May,1.06,31
2023/6/1,Jun,0,1
2023/6/2,Jun,329.97,2
2023/6/3,Jun,1.12,3
2023/6/4,Jun,370.89,4
2023/6/5,Jun,1080.05,5
2023/6/6,Jun,185.51,6
2023/6/7,Jun,544.83,7
2023/6/8,Jun,1066.49,8
2023/6/9,Jun,246.77,9
2023/6/10,Jun,302.86,10
2023/6/11,Jun,375.84,11
2023/6/12,Jun,379.94,12
2023/6/13,Jun,1008.08,13
2023/6/14,Jun,664.78,14
2023/6/15,Jun,597.61,15
2023/6/16,Jun,793.05,16
2023/6/17,Jun,484.63,17
2023/6/18,Jun,0.55,18
2023/6/19,Jun,294.15,19
2023/6/20,Jun,619.04,20
2023/6/21,Jun,239.89,21
2023/6/22,Jun,199.89,22
2023/6/23,Jun,123.95,23
2023/6/24,Jun,262.47,24
2023/6/25,Jun,375.7,25
2023/6/26,Jun,343.68,26
2023/6/27,Jun,749.95,27
2023/6/28,Jun,659.02,28
2023/6/29,Jun,552.63,29
2023/6/30,Jun,325.54,30
2023/7/1,Jul,344.02,1
2023/7/2,Jul,217.71,2
2023/7/3,Jul,233.92,3
2023/7/4,Jul,363.15,4
2023/7/5,Jul,618.25,5
2023/7/6,Jul,519.5,6
2023/7/7,Jul,345.03,7
2023/7/8,Jul,3.45,8
2023/7/9,Jul,329.02,9
2023/7/10,Jul,255.06,10
2023/7/11,Jul,597.58,11
2023/7/12,Jul,702.21,12
2023/7/13,Jul,492.77,13
2023/7/14,Jul,0,14
2023/7/15,Jul,197.53,15
2023/7/16,Jul,325.62,16
2023/7/17,Jul,596.49,17
2023/7/18,Jul,317.11,18
2023/7/19,Jul,717.71,19
2023/7/20,Jul,275.99,20
2023/7/21,Jul,298.76,21
2023/7/22,Jul,290.31,22
2023/7/23,Jul,0,23
2023/7/24,Jul,199.91,24
2023/7/25,Jul,517.99,25
2023/7/26,Jul,125.54,26
2023/7/27,Jul,297.6,27
2023/7/28,Jul,374.73,28
2023/7/29,Jul,42.01,29
2023/7/30,Jul,56.29,30
2023/7/31,Jul,0,31
2023/8/1,Aug,373.59,1
2023/8/2,Aug,649.11,2
2023/8/3,Aug,190.9,3
2023/8/4,Aug,311.74,4
2023/8/5,Aug,2.25,5
2023/8/6,Aug,3.54,6
2023/8/7,Aug,223.62,7
2023/8/8,Aug,482.94,8
2023/8/9,Aug,614.62,9
2023/8/10,Aug,255.71,10
2023/8/11,Aug,208.9,11
2023/8/12,Aug,0,12
2023/8/13,Aug,532.73,13
2023/8/14,Aug,599.77,14
2023/8/15,Aug,263.93,15
2023/8/16,Aug,522.62,16
2023/8/17,Aug,355.34,17
2023/8/18,Aug,289.63,18
2023/8/19,Aug,309.19,19
2023/8/20,Aug,203.37,20
2023/8/21,Aug,233.94,21
2023/8/22,Aug,632.63,22
2023/8/23,Aug,1085.08,23
2023/8/24,Aug,639.34,24
2023/8/25,Aug,340.82,25
2023/8/26,Aug,1.46,26
2023/8/27,Aug,460.67,27
2023/8/28,Aug,360.41,28
2023/8/29,Aug,462.73,29
2023/8/30,Aug,316.87,30
2023/8/31,Aug,500.55,31
2023/9/1,Sept,350.89,1
2023/9/2,Sept,0.62,2
2023/9/3,Sept,2.87,3
2023/9/4,Sept,526.81,4
2023/9/5,Sept,337.21,5
2023/9/6,Sept,782.33,6
2023/9/7,Sept,241.99,7
2023/9/8,Sept,266.94,8
2023/9/9,Sept,0.49,9
2023/9/10,Sept,848.81,10
2023/9/11,Sept,401.46,11
2023/9/12,Sept,416.42,12
2023/9/13,Sept,1074.02,13
2023/9/14,Sept,688.3,14
2023/9/15,Sept,554,15
2023/9/16,Sept,249.02,16
2023/9/17,Sept,516.64,17
2023/9/18,Sept,399.68,18
2023/9/19,Sept,437.71,19
2023/9/20,Sept,520.87,20
2023/9/21,Sept,477.82,21
2023/9/22,Sept,850.43,22
2023/9/23,Sept,152.18,23
2023/9/24,Sept,854.65,24
2023/9/25,Sept,341.53,25
2023/9/26,Sept,380.65,26
2023/9/27,Sept,275.59,27
2023/9/28,Sept,228.45,28
2023/9/29,Sept,151.26,29
2023/9/30,Sept,256.02,30
2023/10/1,Oct,443.5,1
2023/10/2,Oct,337.15,2
2023/10/3,Oct,0.35,3
2023/10/4,Oct,638.77,4
2023/10/5,Oct,0.16,5
2023/10/6,Oct,255.72,6
2023/10/7,Oct,486.46,7
2023/10/8,Oct,659.94,8
2023/10/9,Oct,962.9,9
2023/10/10,Oct,884.08,10
2023/10/11,Oct,328.61,11
2023/10/12,Oct,516.59,12
2023/10/13,Oct,791.99,13
2023/10/14,Oct,583.08,14
2023/10/15,Oct,709.15,15
2023/10/16,Oct,561.93,16
2023/10/17,Oct,286.5,17
2023/10/18,Oct,835.5,18
2023/10/19,Oct,567.59,19
2023/10/20,Oct,305.64,20
2023/10/21,Oct,536.54,21
2023/10/22,Oct,829.06,22
2023/10/23,Oct,271.18,23
2023/10/24,Oct,909.88,24
2023/10/25,Oct,225.12,25
2023/10/26,Oct,560.21,26
2023/10/27,Oct,351.1,27
2023/10/28,Oct,349.84,28
2023/10/29,Oct,217.58,29
2023/10/30,Oct,629.55,30
2023/10/31,Oct,290.01,31
2023/11/1,Nov,385.6,1
2023/11/2,Nov,299.17,2
2023/11/3,Nov,261.16,3
2023/11/4,Nov,377.89,4
2023/11/5,Nov,145.92,5
2023/11/6,Nov,314.09,6
2023/11/7,Nov,302.13,7
2023/11/8,Nov,251,8
2023/11/9,Nov,309.81,9
2023/11/10,Nov,242.16,10
2023/11/11,Nov,0,11
2023/11/12,Nov,1.47,12
2023/11/13,Nov,541.05,13
2023/11/14,Nov,320.27,14
2023/11/15,Nov,526.76,15
2023/11/16,Nov,312,16
2023/11/17,Nov,538.04,17
2023/11/18,Nov,457.37,18
2023/11/19,Nov,184.12,19
2023/11/20,Nov,453.24,20
2023/11/21,Nov,1.64,21
2023/11/22,Nov,618.65,22
2023/11/23,Nov,492.79,23
2023/11/24,Nov,278.84,24
2023/11/25,Nov,153.81,25
2023/11/26,Nov,0,26
2023/11/27,Nov,512.29,27
2023/11/28,Nov,216.84,28
2023/11/29,Nov,429.86,29
2023/11/30,Nov,371.41,30
2023/12/1,Dec,370.75,1
2023/12/2,Dec,371.65,2
2023/12/3,Dec,0,3
2023/12/4,Dec,331.81,4
2023/12/5,Dec,195.23,5
2023/12/6,Dec,383.84,6
2023/12/7,Dec,349.27,7
2023/12/8,Dec,283.19,8
2023/12/9,Dec,2.9,9
2023/12/10,Dec,97.07,10
2023/12/11,Dec,295.52,11
2023/12/12,Dec,711.71,12
2023/12/13,Dec,630.92,13
2023/12/14,Dec,586.74,14
2023/12/15,Dec,460.91,15
2023/12/16,Dec,23.96,16
2023/12/17,Dec,374.7,17
2023/12/18,Dec,690.62,18
2023/12/19,Dec,660.93,19
2023/12/20,Dec,314.64,20
2023/12/21,Dec,0,21
2023/12/22,Dec,0,22
2023/12/23,Dec,0,23
2023/12/24,Dec,0,24
2023/12/25,Dec,0,25
2023/12/26,Dec,0,26
2023/12/27,Dec,0,27
2023/12/28,Dec,0,28
2023/12/29,Dec,0,29
2023/12/30,Dec,0,30
2023/12/31,Dec,0,31
