exercisedate,exercisemonth,value,date
2023/1/1,Jan,0,1
2023/1/2,Jan,16,2
2023/1/3,Jan,1,3
2023/1/4,Jan,0,4
2023/1/5,Jan,22,5
2023/1/6,Jan,7,6
2023/1/7,Jan,0,7
2023/1/8,Jan,0,8
2023/1/9,Jan,0,9
2023/1/10,Jan,0,10
2023/1/11,Jan,0,11
2023/1/12,Jan,0,12
2023/1/13,Jan,0,13
2023/1/14,Jan,0,14
2023/1/15,Jan,0,15
2023/1/16,Jan,0,16
2023/1/17,Jan,0,17
2023/1/18,Jan,0,18
2023/1/19,Jan,0,19
2023/1/20,Jan,0,20
2023/1/21,Jan,0,21
2023/1/22,Jan,0,22
2023/1/23,Jan,0,23
2023/1/24,Jan,0,24
2023/1/25,Jan,0,25
2023/1/26,Jan,0,26
2023/1/27,Jan,0,27
2023/1/28,Jan,0,28
2023/1/29,Jan,0,29
2023/1/30,Jan,0,30
2023/1/31,Jan,0,31
2023/2/1,Feb,0,1
2023/2/2,Feb,0,2
2023/2/3,Feb,4,3
2023/2/4,Feb,36,4
2023/2/5,Feb,10,5
2023/2/6,Feb,58,6
2023/2/7,Feb,9,7
2023/2/8,Feb,81,8
2023/2/9,Feb,1,9
2023/2/10,Feb,77,10
2023/2/11,Feb,4,11
2023/2/12,Feb,2,12
2023/2/13,Feb,37,13
2023/2/14,Feb,88,14
2023/2/15,Feb,38,15
2023/2/16,Feb,110,16
2023/2/17,Feb,18,17
2023/2/18,Feb,9,18
2023/2/19,Feb,123,19
2023/2/20,Feb,20,20
2023/2/21,Feb,37,21
2023/2/22,Feb,2,22
2023/2/23,Feb,92,23
2023/2/24,Feb,31,24
2023/2/25,Feb,15,25
2023/2/26,Feb,78,26
2023/2/27,Feb,91,27
2023/2/28,Feb,85,28
2023/3/1,Mar,24,1
2023/3/2,Mar,69,2
2023/3/3,Mar,110,3
2023/3/4,Mar,21,4
2023/3/5,Mar,34,5
2023/3/6,Mar,74,6
2023/3/7,Mar,52,7
2023/3/8,Mar,25,8
2023/3/9,Mar,17,9
2023/3/10,Mar,71,10
2023/3/11,Mar,22,11
2023/3/12,Mar,69,12
2023/3/13,Mar,84,13
2023/3/14,Mar,88,14
2023/3/15,Mar,20,15
2023/3/16,Mar,88,16
2023/3/17,Mar,80,17
2023/3/18,Mar,3,18
2023/3/19,Mar,78,19
2023/3/20,Mar,83,20
2023/3/21,Mar,7,21
2023/3/22,Mar,27,22
2023/3/23,Mar,93,23
2023/3/24,Mar,27,24
2023/3/25,Mar,2,25
2023/3/26,Mar,59,26
2023/3/27,Mar,67,27
2023/3/28,Mar,2,28
2023/3/29,Mar,23,29
2023/3/30,Mar,53,30
2023/3/31,Mar,29,31
2023/4/1,Apr,32,1
2023/4/2,Apr,74,2
2023/4/3,Apr,89,3
2023/4/4,Apr,29,4
2023/4/5,Apr,15,5
2023/4/6,Apr,30,6
2023/4/7,Apr,8,7
2023/4/8,Apr,0,8
2023/4/9,Apr,75,9
2023/4/10,Apr,84,10
2023/4/11,Apr,27,11
2023/4/12,Apr,37,12
2023/4/13,Apr,0,13
2023/4/14,Apr,95,14
2023/4/15,Apr,3,15
2023/4/16,Apr,85,16
2023/4/17,Apr,84,17
2023/4/18,Apr,11,18
2023/4/19,Apr,0,19
2023/4/20,Apr,33,20
2023/4/21,Apr,51,21
2023/4/22,Apr,9,22
2023/4/23,Apr,88,23
2023/4/24,Apr,111,24
2023/4/25,Apr,15,25
2023/4/26,Apr,110,26
2023/4/27,Apr,17,27
2023/4/28,Apr,23,28
2023/4/29,Apr,27,29
2023/4/30,Apr,8,30
2023/5/1,May,4,1
2023/5/2,May,0,2
2023/5/3,May,0,3
2023/5/4,May,29,4
2023/5/5,May,13,5
2023/5/6,May,90,6
2023/5/7,May,6,7
2023/5/8,May,110,8
2023/5/9,May,14,9
2023/5/10,May,16,10
2023/5/11,May,18,11
2023/5/12,May,129,12
2023/5/13,May,145,13
2023/5/14,May,2,14
2023/5/15,May,93,15
2023/5/16,May,84,16
2023/5/17,May,10,17
2023/5/18,May,86,18
2023/5/19,May,27,19
2023/5/20,May,34,20
2023/5/21,May,0,21
2023/5/22,May,17,22
2023/5/23,May,16,23
2023/5/24,May,89,24
2023/5/25,May,23,25
2023/5/26,May,75,26
2023/5/27,May,1,27
2023/5/28,May,25,28
2023/5/29,May,0,29
2023/5/30,May,24,30
2023/5/31,May,1,31
2023/6/1,Jun,0,1
2023/6/2,Jun,89,2
2023/6/3,Jun,1,3
2023/6/4,Jun,0,4
2023/6/5,Jun,74,5
2023/6/6,Jun,10,6
2023/6/7,Jun,8,7
2023/6/8,Jun,69,8
2023/6/9,Jun,149,9
2023/6/10,Jun,100,10
2023/6/11,Jun,0,11
2023/6/12,Jun,90,12
2023/6/13,Jun,73,13
2023/6/14,Jun,67,14
2023/6/15,Jun,93,15
2023/6/16,Jun,92,16
2023/6/17,Jun,103,17
2023/6/18,Jun,0,18
2023/6/19,Jun,87,19
2023/6/20,Jun,3,20
2023/6/21,Jun,16,21
2023/6/22,Jun,28,22
2023/6/23,Jun,112,23
2023/6/24,Jun,1,24
2023/6/25,Jun,115,25
2023/6/26,Jun,20,26
2023/6/27,Jun,113,27
2023/6/28,Jun,14,28
2023/6/29,Jun,81,29
2023/6/30,Jun,22,30
2023/7/1,Jul,1,1
2023/7/2,Jul,1,2
2023/7/3,Jul,11,3
2023/7/4,Jul,14,4
2023/7/5,Jul,15,5
2023/7/6,Jul,12,6
2023/7/7,Jul,19,7
2023/7/8,Jul,2,8
2023/7/9,Jul,0,9
2023/7/10,Jul,13,10
2023/7/11,Jul,12,11
2023/7/12,Jul,10,12
2023/7/13,Jul,25,13
2023/7/14,Jul,0,14
2023/7/15,Jul,0,15
2023/7/16,Jul,0,16
