exercisedate,exercisemonth,value
2023/6/10,6,900
2023/6/17,6,1750
2023/6/23,6,2100
2023/6/25,6,3650
2023/6/27,6,2340
2023/8/20,8,2450
2023/8/23,8,2250
2023/8/31,8,1300
2023/9/11,9,500
2023/9/13,9,2800
2023/9/17,9,550
2023/9/20,9,1000
2023/9/24,9,1750
2023/10/10,10,1500
2023/10/12,10,950
2023/10/15,10,1200
2023/10/18,10,1200
2023/10/22,10,850
2023/11/1,11,750
2023/11/13,11,1400
2023/11/17,11,2850
2023/11/21,11,1000
2023/11/23,11,1150
2023/11/27,11,1100
2023/12/4,12,1400
2023/12/13,12,1600
2023/12/14,12,1300
2023/12/18,12,1200
